name;lat;lon
Abbeyfeale; -9.290012000000001;52.387297
Abbeyleix; -7.343784;52.912735
Achill Sound; -9.918491;53.933725
Adare; -8.792064999999999;52.563903
Aglish; -7.822039;52.07159
Ahascragh; -8.330640000000001;53.395672
Anglesea Street; -8.465014999999999;51.895775
Annascaul; -10.052538;52.152418
Ardara; -8.409485;54.764529
Ardee; -6.541139;53.854914
Ardfert; -9.778885000000001;52.323486
Ardfinnan; -7.878311;52.31183
Ardmore; -7.728211;51.95102
Ardnacrusha; -8.613146;52.707692
Ardrahan; -8.806455;53.15665
Arklow; -6.154628;52.796281
Arles; -7.018923;52.890977
Arvagh; -7.583729;53.925376
Ashbourne; -6.396999;53.511375
Ashford; -6.108274;53.013445
Askeaton; -8.978285;52.600208
Athboy; -6.915872;53.623639
Athea; -9.287470000000001;52.459923
Athenry; -8.749687;53.29975
Athleague; -8.252367;53.568697
Athlone; -7.944738;53.423248
Athy; -6.988236;52.990206
Aughrim; -6.32684;52.856031
Avoca; -6.212905;52.858789
Bailieboro; -6.96963;53.915212
Balbriggan; -6.191172;53.61433
Balla; -9.129879000000001;53.801869
Ballaghaderreen; -8.584588;53.899932
Ballina; -9.160444999999999;54.112854
Ballinagh; -7.409629;53.93111
Ballinamore; -7.796969;54.054599
Ballinasloe; -8.223623999999999;53.328431
Ballincollig; -8.590320999999999;51.888237
Ballindine; -8.957725;53.669647
Ballineen; -8.948867;51.73592
Ballingarry; -8.862845;52.47213
Ballingarry North; -8.030464;53.018366
Ballingarry South; -7.541163;52.586041
Ballingeary; -9.228983;51.851864
Ballinhassig; -8.570544999999999;51.804093
Ballinlough; -8.635821999999999;53.740774
Ballinrobe; -9.226214000000001;53.624611
Ballintra; -8.125418;54.577798
Ballivor; -6.967157;53.532703
Ballon; -6.772182;52.743226
Ballybay; -6.904803;54.128944
Ballybofey; -7.779638;54.800024
Ballybunnion; -9.670237999999999;52.511257
Ballyconnell; -7.580204;54.118998
Ballycotton; -8.013090999999999;51.830332
Ballycroy; -9.825856;54.025764
Ballycullane; -6.839211;52.278869
Ballydehob; -9.460782;51.559116
Ballydesmond; -9.230971;52.178235
Ballyferiter; -10.406194;52.165926
Ballyfermot; -6.357991;53.34476
Ballygar; -8.328390000000001;53.521866
Ballyhale; -7.201527;52.468333
Ballyhaunis; -8.767407;53.763974
Ballyheigue; -9.827458;52.389174
Ballyjamesduff; -7.208767;53.86311
Ballylanders; -8.345470000000001;52.370709
Ballylinan; -7.043236;52.942954
Ballymacarberry; -7.717707;52.267228
Ballymahon; -7.760849;53.56131
Ballymore; -7.681731;53.491082
Ballymote; -8.515224;54.087429
Ballymun; -6.26371;53.394531
Ballynacargy; -7.534945;53.586311
Ballyneety; -8.548932000000001;52.597271
Ballynoe; -8.099306;52.060207
Ballyporeen; -8.097746000000001;52.270205
Ballyshannon; -8.204817;54.498743
Ballyvaughan; -9.147112;53.116153
Ballyvourney; -9.169196;51.945772
Baltimore; -9.372258;51.483488
Baltinglass; -6.709772;52.938986
Banagher; -7.98593;53.190536
Bandon; -8.739863;51.745084
Bangor Erris; -9.747078;54.143979
Bansha; -8.065583999999999;52.449254
Bantry; -9.455239000000001;51.68027
Barnaderg; -8.722467999999999;53.480544
Barraduff; -9.340942999999999;52.059764
Belmullet; -9.985583999999999;54.221746
Belturbet; -7.442615;54.101166
Bennetsbridge; -7.183241;52.590303
Birr; -7.911523;53.096052
Bishopstown; -8.514533999999999;51.880667
Blacklion; -7.876192;54.291479
Blackrock; -8.404310000000001;51.894335
Blackrock; -6.177504;53.299805
Blackrock; -6.368241;53.963757
Blackwater; -6.348826;52.445411
Blanchardstown; -6.380975;53.38992
Blarney; -8.567658;51.931964
Blessington; -6.533734;53.170266
Boherbue; -9.069751999999999;52.158972
Bonniconlon; -9.028962;54.109553
Borris; -6.929311;52.601802
Borris-in-Ossory; -7.628803;52.939297
Borrisokane; -8.127013;52.997118
Borrisoleigh; -7.955371;52.75149
Boyle; -8.300395;53.97337
Bray; -6.100595;53.198679
Bridewell; -8.477045;51.900553
Bridewell; -6.27413;53.34708
Bruff; -8.546975;52.47733
Bruree; -8.650418;52.42316
Bunbeg; -8.289455;55.065567
Bunclody; -6.662477;52.656758
Buncrana; -7.450711;55.1315
Bundoran; -8.279344;54.476554
Burnfoot; -7.401576;55.054674
Burtonport; -8.438637999999999;54.984922
Buttevant; -8.671275;52.229313
Cabinteely; -6.150651;53.260789
Cabra; -6.30764;53.364985
Caherciveen; -10.219832;51.946966
Caherconlish; -8.469536;52.593816
Cahir; -7.920298;52.375972
Callan; -7.391039;52.542375
Campile; -6.939622;52.287783
Cappamore; -8.338486;52.614671
Cappawhite; -8.164835;52.583158
Cappoquin; -7.845723;52.145886
Carbury; -6.936698;53.338463
Carlingford; -6.187213;54.041228
Carlow; -6.929317;52.840527
Carna; -9.824405000000001;53.323548
Carndonagh; -7.259461;55.253506
Carnew; -6.491768;52.710507
Carraroe; -9.600493;53.264508
Carrick; -8.633089999999999;54.65788
Carrickbyrne; -6.759713;52.362377
Carrickmacross; -6.718776;53.976059
Carrick-on-Bannow; -6.734023;52.238145
Carrick-on-Shannon; -8.09015;53.944337
Carrick-on-Suir; -7.409894;52.348154
Carrigaline; -8.391534999999999;51.814833
Carrigallen; -7.646708;53.975591
Carrigans; -7.426749;54.951187
Carrigart; -7.798482;55.175128
Carrignavar; -8.478209;51.988915
Carrigtwohil; -8.261818999999999;51.909467
Carrowkeel; -7.666324;55.137138
Cashel; -7.890302;52.516336
Castlebar; -9.297628;53.853436
Castlebellingham; -6.389939;53.899264
Castleblaney; -6.735032;54.117858
Castlebridge; -6.452561;52.384712
Castlecomer; -7.209541;52.799265
Castleconnel; -8.498469999999999;52.713406
Castledermot; -6.849182;52.909221
Castlefinn; -7.595233;54.8027
Castlegregory; -10.020617;52.254163
Castleisland; -9.467496000000001;52.230794
Castlemaine; -9.700593;52.170229
Castlepollard; -7.296635;53.678482
Castlerea; -8.484061000000001;53.766632
Castletownbere; -9.914682000000001;51.649482
Castletownroche; -8.467950999999999;52.170729
Cavan; -7.360879;53.993329
Celbridge; -6.541734;53.343999
Charlestown; -8.793514;53.962745
Charleville; -8.682567000000001;52.356054
Cill Ronain; -9.667818000000001;53.121306
Clane; -6.685898;53.293654
Clara; -7.614105;53.345415
Claremorris; -9.000249;53.722297
Clifden; -10.009242;53.488185
Cloghan; -7.877516;53.224847
Clogheen; -7.995338;52.276899
Clogher; -8.4275;54.836778
Clogherhead; -6.242661;53.790411
Clonakilty; -8.888908000000001;51.624951
Clonark; -8.034655000000001;53.368396
Clonaslee; -7.526043;53.148619
Clonbologue; -7.08576;53.259142
Clondalkin; -6.394958;53.323146
Clones; -7.228158;54.177489
Clonmany; -7.412817;55.263009
Clonmel; -7.699937;52.354092
Clonroche; -6.715873;52.450375
Clontarf; -6.220152;53.363544
Cloughjordan; -8.039714;52.941967
Cloyne; -8.123499000000001;51.86276
Coachford; -8.791136;51.909134
Cobh; -8.303642;51.84824
Collon; -6.484901;53.777854
Collooney; -8.487866;54.185481
Cong; -9.286535000000001;53.541468
Convoy; -7.668991;54.859325
Coolaney; -8.603388000000001;54.172371
Coolock; -6.201099;53.390335
Cootehill; -7.078703;54.074708
Corofin; -9.068588;52.947992
Corofin; -8.863001000000001;53.437635
Courtown Harbour; -6.230528;52.644257
Craughwell; -8.733921000000001;53.22943
Creeslough; -7.912554;55.125281
Creggs; -8.363792;53.59486
Crookstown; -8.801264;51.858654
Croom; -8.718798;52.522001
Crosshaven; -8.304453000000001;51.803976
Crossmolina; -9.322703000000001;54.099814
Crumlin; -6.315017;53.319567
Crusheen; -8.898636;52.938477
Daingean; -7.293573;53.292953
Delvin; -7.090084;53.614455
Dingle; -10.270497;52.139247
Dolla; -8.192114999999999;52.797134
Donegal; -8.111060999999999;54.652423
Doneraile; -8.585414;52.215706
Donnybrook; -6.235914;53.321731
Douglas; -8.430959;51.875091
Dowra; -8.01525;54.190428
Drimoleague; -9.263985999999999;51.659024
Drinagh; -9.154526000000001;51.64771
Drogheda; -6.356643;53.715056
Dromcollogher; -8.911261;52.338222
Drumad; -6.360793;54.095768
Drumlish; -7.765943;53.821699
Drumshanbo; -8.039977;54.046503
Dublin Airport; -6.24501;53.429782
Duleek; -6.418061;53.653865
Dun Laoghaire; -6.133347;53.289915
Dunboyne; -6.477153;53.421092
Duncannon; -6.929776;52.221401
Dundalk; -6.409665;53.999499
Dundrum; -6.242572;53.289544
Dunfanaghy; -7.974435;55.182921
Dungarvan; -7.624475;52.087691
Dungloe; -8.361278;54.951565
Dunlavin; -6.701071;53.058777
Dunleer; -6.394568;53.828524
Dunmanway; -9.11014;51.722827
Dunmore; -8.74063;53.617554
Dunmore East; -6.99287;52.14839
Dunshaughlin; -6.539311;53.510761
Durrow; -7.396091;52.844258
Durrus; -9.523956;51.620542
Edenderry; -7.060821;53.336835
Edgeworthstown; -7.60599;53.695578
Elphin; -8.192477;53.84582
Emly; -8.354184;52.465127
Emyvale; -6.957596;54.339356
Enfield; -6.833864;53.415111
Ennis; -8.981120000000001;52.84681
Enniscorthy; -6.570682;52.500739
Enniscrone; -9.088505;54.213846
Enniskerry; -6.169531;53.191343
Ennistymon; -9.288537;52.937394
Eyrecourt; -8.132368;53.199426
Falcarragh; -8.102015;55.136977
Farranfore; -9.549687000000001;52.171391
Ferbane; -7.827618;53.270751
Fermoy; -8.274164000000001;52.138516
Ferns; -6.497766;52.590995
Ferrybank; -7.101039;52.267457
Fethard; -7.694428;52.466397
Finglas; -6.306919;53.389651
Fitzgibbon Street; -6.255359;53.357735
Foxford; -9.108411;53.983287
Foynes; -9.103669999999999;52.60973
Frenchpark; -8.407873;53.869536
Freshford; -7.39441;52.73244
Galway; -9.057489;53.271404
Garristown; -6.383903;53.567052
Glanmire; -8.396808999999999;51.918419
Glantane; -8.748764;52.104692
Glassan; -7.864255;53.471354
Glenamaddy; -8.560181;53.607443
Glenamoy; -9.67877;54.240839
Glenbeigh; -9.937063;52.057123
Glengarriff; -9.550710000000001;51.750564
Glenmore; -7.028012;52.35384
Glenties; -8.28098;54.79555
Glin; -9.284509;52.569586
Glynn; -6.582891;52.372768
Golden; -7.984693;52.496771
Goresbridge; -6.994435;52.630035
Gorey; -6.29727;52.675046
Gort; -8.818184000000001;53.067434
Graiguenmana; -6.956768;52.542471
Granard; -7.494222;53.778552
Grange; -8.520745;54.393368
Greystones; -6.063164;53.147964
Gurranabraher; -8.496622;51.903493
Gurteen; -8.515829;53.992967
Hackballscross; -6.524163;54.031641
Hacketstown; -6.556978;52.864342
Headford; -9.098307;53.470318
Henry Street; -8.631345;52.66164
Holycross; -7.872911;52.642571
Hospital; -8.432453000000001;52.475237
Howth; -6.069001;53.387287
Innishannon; -8.655438;51.764428
Inverin; -9.429568;53.240587
Irishtown; -6.22304;53.338063
Kanturk; -8.912577000000001;52.17587
Keadue; -8.137298;54.050646
Kealkill; -9.375317000000001;51.755046
Keel; -10.082253;53.975372
Keenagh; -7.815098;53.621951
Kells; -6.881215;53.728408
Kenmare; -9.581625000000001;51.878502
Kevin Street; -6.270248;53.338982
Kilbeggan; -7.499184;53.368544
Kilbrittain; -8.690111999999999;51.673531
Kilcock; -6.672497;53.403846
Kilconnell; -8.401655999999999;53.331374
Kilcormac; -7.728836;53.176184
Kildare; -6.907264;53.156035
Kildorrery; -8.429624;52.245439
Kildysart; -9.105833000000001;52.674604
Kilkee; -9.644717999999999;52.682402
Kilkelly; -8.843456;53.873356
Kilkenny; -7.259723;52.65244
Kill; -7.335097;52.177324
Killala; -9.220515000000001;54.214104
Killaloe; -8.44366;52.806662
Killarney; -9.512388;52.062403
Killcullen; -6.746572;53.12914
Killeagh; -7.994963;51.939762
Killenaule; -7.672826;52.568519
Killeshandra; -7.525932;54.011748
Killimor; -8.294188;53.165886
Killorglin; -9.787144;52.106496
Killucan; -7.13967;53.514714
Killybegs; -8.444392000000001;54.636599
Kilmacow; -7.174842;52.314568
Kilmacrennan; -7.778514;55.029495
Kilmacthomas; -7.421334;52.206191
Kilmaine; -9.123797;53.582596
Kilmainham; -6.304273;53.341869
Kilmallock; -8.575768999999999;52.398381
Kilmeaden; -7.245047;52.246247
Kilmoganny; -7.329284;52.46092
Kilmore Quay; -6.58373;52.178668
Kilnaleck; -7.317923;53.858467
Kilrickle; -8.452731;53.230643
Kilrush; -9.481077000000001;52.641064
Kilsheelan; -7.579801;52.361522
Kiltimagh; -9.005765;53.846055
Kiltormer; -8.271341;53.237577
Kilworth; -8.249568999999999;52.176253
Kingscourt; -6.806759;53.904314
Kinlough; -8.286956;54.445777
Kinnegad; -7.102805;53.455927
Kinnity; -7.722148;53.098414
Kinsale; -8.52548;51.706322
Kinvara; -8.939726;53.14047
Knock; -8.918831000000001;53.795363
Knocknagoshel; -9.385306;52.330666
Lanesboro; -7.985285;53.671004
Laytown; -6.244004;53.689197
Leamybrien; -7.521634;52.169328
Leitir Mor; -9.655065000000001;53.289412
Leixlip; -6.49825;53.367378
Letterfrack; -9.947676;53.554204
Letterkenny; -7.736422;54.954697
Lifford; -7.480269;54.832829
Liscarroll; -8.806260999999999;52.259567
Lisdoonvarna; -9.289667;53.028625
Lismore; -7.935513;52.136673
Lissycasey; -9.154412000000001;52.746056
Listowel; -9.483916000000001;52.447132
Littleton; -7.734927;52.640702
Lixnaw; -9.616641;52.404074
Longford; -7.80138;53.73251
Longwood; -6.926959;53.454571
Lorrha; -8.122077000000001;53.09366
Loughgeorge; -8.931293999999999;53.357056
Loughrea; -8.569948;53.197374
Louisburgh; -9.807597;53.764608
Louth; -6.537919;53.952394
Lucan; -6.45068;53.356052
Lusk; -6.167335;53.523431
Macroom; -8.963996;51.906268
Malahide; -6.151959;53.451162
Mallow; -8.64594;52.13877
Manorhamilton; -8.178512;54.304359
Maum; -9.564931;53.510728
Mayfield; -8.429043;51.909732
Maynooth; -6.5927;53.380813
Mayorstone; -8.644740000000001;52.673726
Midleton; -8.173526000000001;51.916681
Milford; -8.856400000000001;52.342465
Milford; -7.698108;55.08699
Millstreet; -9.061531;52.060069
Milltown; -8.897447;53.611605
Miltown Malbay; -9.400594;52.857453
Mitchelstown; -8.270568000000001;52.263585
Moate; -7.734526;53.395738
Mohill; -7.868075;53.920831
Monaghan; -6.967516;54.25137
Monasterevin; -7.054709;53.138195
Moneygall; -7.95344;52.881293
Monivea; -8.702330999999999;53.373986
Mooncoin; -7.257334;52.294707
Mountbellew; -8.500104;53.471162
Mountcharles; -8.195836999999999;54.645993
Mountjoy; -6.266825;53.360484
Mountmellick; -7.335148;53.118781
Mountrath; -7.478072;52.998152
Moville; -7.028567;55.191632
Moycullen; -9.181167;53.33831
Moylough; -8.567016000000001;53.487694
Moyne; -7.714104;52.734272
Muff; -7.268756;55.068587
Muine Bheag; -6.957359;52.701304
Mullagh; -6.943188;53.811139
Mullinahone; -7.505575;52.510156
Mullinavat; -7.172155;52.366384
Mullingar; -7.345952;53.525701
Multyfarnham; -7.392333;53.624231
Murroe; -8.399188000000001;52.649681
Myshall; -6.778446;52.68752
Naas; -6.666007;53.210722
Navan; -6.690418;53.654517
Nenagh; -8.199582;52.864279
New Ross; -6.9508;52.387564
Newbridge; -6.795531;53.181435
Newcastle West; -9.062395;52.453746
Newmarket; -8.996980000000001;52.214576
Newmarket-on-Fergus; -8.899113;52.763172
Newport; -9.546620000000001;53.890184
Newport; -8.407173;52.70962
Newtowncunningham; -7.507791;54.997599
Newtownmountkennedy; -6.10944;53.096895
Nobber; -6.74664;53.820954
Oldcastle; -7.161933;53.769274
Omeath; -6.256309;54.086532
Oola; -8.259684;52.52999
Oranmore; -8.931893000000001;53.272075
Oughterard; -9.324545000000001;53.427355
Oulart; -6.391333;52.503337
Oylegate; -6.529615;52.424081
Pallasgreen; -8.353081;52.54829
Pallaskenry; -8.866541;52.64055
Partry; -9.279586999999999;53.698681
Passage East; -6.972809;52.23918
Passagewest; -8.331746000000001;51.865188
Patrickswell; -8.712941000000001;52.595751
Pearse Street; -6.256269;53.345702
Pettigo; -7.834881;54.54823
Pilltown; -7.325473;52.349824
Portarlington; -7.187796;53.159159
Portlaoise; -7.303082;53.03165
Portlaw; -7.317612;52.286264
Portmagee; -10.36178;51.885159
Portroe; -8.353676;52.881904
Portumna; -8.22043;53.09001
Raheny; -6.177986;53.378983
Ramelton; -7.650725;55.036652
Raphoe; -7.59437;54.8744
Rathangan; -6.997539;53.222117
Rathcoole; -6.464709;53.281792
Rathcormack; -8.284331;52.076086
Rathdowney; -7.597837;52.856712
Rathdrum; -6.226505;52.930996
Rathfarnham; -6.28815;53.297388
Rathgormack; -7.50377;52.307456
Rathkeale; -8.939033;52.523368
Rathmines; -6.267004;53.321317
Rathmore; -9.214231;52.084275
Rathmullen; -7.532564;55.0958
Rathvilly; -6.695366;52.880429
Recess; -9.721432999999999;53.465315
Rhode; -7.194828;53.351091
Ring; -7.593043;52.048379
Riverstown; -8.399996;54.12957
Robertstown; -6.816396;53.27022
Rochfortbridge; -7.301832;53.413283
Rockcorry; -7.009368;54.120158
Ronanstown; -6.406023;53.337899
Rooskey; -7.922834;53.832866
Ros Muck; -9.609864999999999;53.386363
Roscommon; -8.193576;53.629842
Roscrea; -7.798782;52.956163
Rosscarberry; -9.031503000000001;51.577571
Rosses Point; -8.546543;54.305369
Rosslare Harbour; -6.334101;52.248751
Rosslare Strand; -6.384849;52.269656
Roundstone; -9.921109;53.393576
Roundwood; -6.224677;53.063047
Roxboro Road; -8.61491;52.650763
Salthill; -9.079713999999999;53.258788
Santry; -6.251635;53.389728
Scarriff; -8.534770999999999;52.90683
Schull; -9.541359999999999;51.528718
Scotstown; -7.063623;54.280267
Shankill; -6.121017;53.233524
Shannon; -8.877221000000001;52.707895
Shercock; -6.900786;53.992199
Shevry; -8.047129999999999;52.686935
Shilleagh; -6.537507;52.754565
Shinrone; -7.934131;52.984679
Shrule; -9.087624999999999;53.519846
Sixmilebridge; -8.777945000000001;52.740101
Skerries; -6.106963;53.579593
Skibbereen; -9.264135;51.548587
Skreen; -8.720407;54.2446
Slane; -6.547504;53.709681
Sligo; -8.471265000000001;54.269256
Smear; -7.601682;53.860567
Sneem; -9.90396;51.838914
Spiddle; -9.305633;53.245432
Stoneyford; -7.228582;52.536386
Store Street; -6.252246;53.350455
Strokestown; -8.103816999999999;53.780762
Stuake; -8.760123999999999;51.990501
Summerhill; -6.733438;53.48196
Sundrive Road; -6.298731;53.330191
Swanlinbar; -7.703839;54.196111
Swinford; -8.952211;53.940637
Swords; -6.221116;53.456023
Taghmon; -6.651727;52.322031
Tallaght; -6.367838;53.286801
Tallow; -8.007298000000001;52.093703
Tarbert; -9.375422;52.572734
Tarelton; -8.992849;51.838531
Taughmaconnell; -8.172962;53.393162
Templederry; -8.075010000000001;52.774143
Templemore; -7.835087;52.796632
Templetuohy; -7.720095;52.790294
Terenure; -6.288029;53.309815
Thomastown; -7.140031;52.528949
Thurles; -7.8119;52.675712
Timoleague; -8.766241000000001;51.642666
Tinahely; -6.469283;52.796724
Tipperary; -8.162901;52.476051
Togher; -8.486227;51.876497
Toomevara; -8.036502000000001;52.849684
Tralee; -9.708838999999999;52.269488
Tramore; -7.153412;52.161475
Trim; -6.789303;53.553114
Tuam; -8.855884;53.515662
Tubbercurry; -8.734268;54.051574
Tulla; -8.754770000000001;52.865385
Tullamore; -7.494906;53.276055
Tullow; -6.733401;52.803828
Tulsk; -8.251828;53.777444
Urlingford; -7.58013;52.722103
Virginia; -7.081928;53.834442
Watercourse Road; -8.474482999999999;51.907175
Waterford; -7.115254;52.260269
Watergrasshill; -8.342022;52.013443
Waterville; -10.174173;51.831085
Westport; -9.519437;53.79907
Wexford; -6.461997;52.335547
Whitegate; -8.22781;51.82707
Wicklow; -6.042638;52.981435
Williamstown; -8.578412;53.677145
Woodford; -8.400131999999999;53.047611
Youghal; -7.842754;51.948069